--- asteroids vs asteroids ---
0 1 0.00984767 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623482 -0.482601
1 2 0.00588251 0.785398
1 3 0.00394684 0.50271
1 4 0.00254086 -0.785398
2 3 0.00133716 0.71095
2 4 0.0026091 -0.236286
3 4 0.00196342 0.785398
--- asteroids vs planets ---
0 0 0.0421598 -0.115785
0 1 0.0240522 -0.618542
0 2 0.0183015 -0.0259845
0 3 0.0262778 -0.785398
0 4 0.346923 0.785398
1 0 0.029998 0.785398
1 1 0.112259 0.785398
1 2 0.0206071 0.785398
1 3 0.129746 -0.0117806
1 4 0.0172212 -0.785398
2 0 0.0524781 -0.738178
2 1 0.122633 0.0310331
2 2 0.0992368 -0.785398
2 3 0.0180608 0.329648
2 4 0.0158358 -0.615575
3 0 0.069905 0.725968
3 1 0.0265832 0.785398
3 2 0.234807 0.785398
3 3 0.00923381 0.785398
3 4 0.0259004 0.091902
4 0 0.0365812 0.441387
4 1 0.036905 -0.166404
4 2 0.017161 0.330307
4 3 0.0912023 -0.785398
4 4 0.05982 0.785398
5 0 0.0327817 0.785398
5 1 0.142699 0.785398
5 2 0.0236625 0.785398
5 3 0.0966177 -0.009882
5 4 0.0174165 -0.785398
6 0 0.0571188 -0.640208
6 1 0.1085 0.214752
6 2 0.129781 -0.785398
6 3 0.0159135 0.395097
6 4 0.0157631 -0.561402
7 0 0.0475575 -0.581726
7 1 0.0200723 -0.785398
7 2 0.0222415 -0.313974
7 3 0.0157765 0.785398
7 4 2.83593 -0.785398
8 0 0.0288021 0.655805
8 1 0.0384492 0.105867
8 2 0.0153566 0.486489
8 3 0.260577 -0.785398
8 4 0.0351935 0.785398
9 0 0.0314924 0.785398
9 1 0.0901951 0.771944
9 2 0.020439 0.785398
9 3 0.322818 -0.0173581
9 4 0.0209363 -0.785398

******************** ITERATION *******************
--- asteroids vs asteroids ---
0 1 0.00984767 -0.785398
0 2 0.0130306 0.124834
0 3 0.00214049 0.785398
0 4 0.00623483 -0.482601
1 2 0.00588251 0.785398
